Interaction,name,Pearson,selected,shared interaction,shared name,Weight
107984498,55289,0.9352561999143157,false,107984498,55289,0.9352561999143157
107984498,10595,0.9020988328999722,false,107984498,10595,0.9020988328999722
107984498,353189,0.9160914770975281,false,107984498,353189,0.9160914770975281
107984498,100874002,0.8420218472507461,false,107984498,100874002,0.8420218472507461
107984498,103504738,0.9272968739666717,false,107984498,103504738,0.9272968739666717
107984498,115019,0.9533458015433777,false,107984498,115019,0.9533458015433777
107984498,84525,0.8845467510425888,false,107984498,84525,0.8845467510425888
107984498,4496,0.7508657419878212,false,107984498,4496,0.7508657419878212
107984498,256076,0.9389582759605001,false,107984498,256076,0.9389582759605001
55289,10595,0.9465205444870571,false,55289,10595,0.9465205444870571
55289,353189,0.9491099883682501,false,55289,353189,0.9491099883682501
55289,100874002,0.8862703979277115,false,55289,100874002,0.8862703979277115
55289,103504738,0.9346210012014932,false,55289,103504738,0.9346210012014932
55289,115019,0.9608884104800938,false,55289,115019,0.9608884104800938
55289,84525,0.9387878677215341,false,55289,84525,0.9387878677215341
55289,4496,0.8190436521018121,false,55289,4496,0.8190436521018121
55289,256076,0.9515623173511578,false,55289,256076,0.9515623173511578
10595,353189,0.9666294435830415,false,10595,353189,0.9666294435830415
10595,100874002,0.87493723037333,false,10595,100874002,0.87493723037333
10595,103504738,0.9320480535367774,false,10595,103504738,0.9320480535367774
10595,115019,0.9329305188298644,false,10595,115019,0.9329305188298644
10595,84525,0.9089214424820861,false,10595,84525,0.9089214424820861
10595,4496,0.7957760101433147,false,10595,4496,0.7957760101433147
10595,256076,0.9332075052552022,false,10595,256076,0.9332075052552022
353189,100874002,0.8906167416326347,false,353189,100874002,0.8906167416326347
353189,103504738,0.9563094314204611,false,353189,103504738,0.9563094314204611
353189,115019,0.950495611805439,false,353189,115019,0.950495611805439
353189,84525,0.9385036427368997,false,353189,84525,0.9385036427368997
353189,4496,0.8161356511398353,false,353189,4496,0.8161356511398353
353189,256076,0.9366121767058949,false,353189,256076,0.9366121767058949
100874002,103504738,0.8860370107096335,false,100874002,103504738,0.8860370107096335
100874002,115019,0.927187889668758,false,100874002,115019,0.927187889668758
100874002,84525,0.8824647681002021,false,100874002,84525,0.8824647681002021
100874002,4496,0.8363194775470228,false,100874002,4496,0.8363194775470228
100874002,256076,0.9253236276870292,false,100874002,256076,0.9253236276870292
103504738,115019,0.9643195025921769,false,103504738,115019,0.9643195025921769
103504738,84525,0.9317027395062002,false,103504738,84525,0.9317027395062002
103504738,4496,0.8379615465942076,false,103504738,4496,0.8379615465942076
103504738,256076,0.9512818723669063,false,103504738,256076,0.9512818723669063
115019,84525,0.9485817516432336,false,115019,84525,0.9485817516432336
115019,4496,0.8320135989175291,false,115019,4496,0.8320135989175291
115019,256076,0.9834233025630889,false,115019,256076,0.9834233025630889
84525,4496,0.7944806944873386,false,84525,4496,0.7944806944873386
84525,256076,0.9309037927911199,false,84525,256076,0.9309037927911199
4496,256076,0.8230362722676561,false,4496,256076,0.8230362722676561
